ships,surveys,data_sets,analyses,report_nums,zones
157,202002,1,1,NA,0
157,201802,1,3,NA,0
157,201603,1,4,NA,0
157,201402,1,2,NA,0
157,201202,1,2,NA,0
157,200903,1,2,NA,0
21,200703,1,2,NA,0
21,200603,1,2,NA,0
21,200503,1,2,NA,0
21,200304,1,2,NA,0
21,200203,1,1,NA,0
21,200103,1,1,NA,0
21,200003,1,1,NA,0
21,199802,1,1,NA,0
21,199702,1,1,NA,0
21,199603,1,1,NA,0
21,199402,1,2,NA,0
