ships,surveys,data_sets_surf_ref,analyses_surf_ref,data_sets_bot_ref,analyses_bot_ref,zones_list
157,201802,1,3,NA,NA,0
157,201603,1,4,NA,NA,0
157,201402,1,2,NA,NA,0
157,201202,1,2,NA,NA,0
157,200903,1,2,NA,NA,0
157,202002,1,1,0,0,0
157,202402,1,1,0,0,0
